pack	path	name	renderers	matSlots	distinctMats	shaders	tris	boundsX	boundsY	boundsZ	childCount	gripHits	muzzleHits	childSample
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_A_Right.prefab	Light_A_Right	2	2	1	StylizedToonWorldKit/Toon/Toon Lit	520	0.056	0.049	0.187	1	0	0	Light_A_Part_Right
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_B_Left.prefab	Light_B_Left	2	2	1	StylizedToonWorldKit/Toon/Toon Lit	622	0.045	0.071	0.138	1	0	0	Light_B_Left_Part
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_B_Right.prefab	Light_B_Right	2	2	1	StylizedToonWorldKit/Toon/Toon Lit	622	0.045	0.071	0.138	1	0	0	Light_B_Right_Part
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_C_Left.prefab	Light_C_Left	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	456	0.028	0.038	0.061	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_C_Right.prefab	Light_C_Right	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	456	0.028	0.038	0.061	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_D_Left.prefab	Light_D_Left	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	784	0.061	0.056	0.153	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_D_Right.prefab	Light_D_Right	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	784	0.061	0.056	0.153	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Brake_A.prefab	Muzzle_Brake_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	392	0.026	0.030	0.065	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Brake_B.prefab	Muzzle_Brake_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	256	0.030	0.035	0.060	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Brake_C.prefab	Muzzle_Brake_C	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	800	0.032	0.038	0.083	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Brake_D.prefab	Muzzle_Brake_D	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	568	0.033	0.038	0.115	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_A.prefab	Muzzle_Flash Hider_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	488	0.026	0.030	0.065	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_B.prefab	Muzzle_Flash Hider_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	474	0.030	0.035	0.109	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_C.prefab	Muzzle_Flash Hider_C	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	708	0.031	0.036	0.106	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_D.prefab	Muzzle_Flash Hider_D	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	620	0.026	0.030	0.069	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Device_A.prefab	Muzzle_ShotGun_Device_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	312	0.042	0.048	0.150	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Device_B.prefab	Muzzle_ShotGun_Device_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	860	0.035	0.040	0.062	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Flash Hider_A.prefab	Muzzle_ShotGun_Flash Hider_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	280	0.033	0.039	0.064	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Shoke_A.prefab	Muzzle_ShotGun_Shoke_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	168	0.022	0.026	0.017	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Shoke_A_X2.prefab	Muzzle_ShotGun_Shoke_A_X2	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	336	0.022	0.052	0.018	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Suppresor_A.prefab	Muzzle_ShotGun_Suppresor_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	331	0.045	0.088	0.348	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Suppressor_A.prefab	Muzzle_Suppressor_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	292	0.043	0.049	0.237	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Suppressor_B.prefab	Muzzle_Suppressor_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	364	0.051	0.058	0.267	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Suppressor_C.prefab	Muzzle_Suppressor_C	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	452	0.048	0.055	0.155	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Suppressor_D.prefab	Muzzle_Suppressor_D	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	484	0.040	0.047	0.240	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Suppressor_E.prefab	Muzzle_Suppressor_E	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	296	0.043	0.050	0.263	0	0	1	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_A.prefab	Optic_A	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	524	0.045	0.066	0.076	1	0	0	Optic_A_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_B.prefab	Optic_B	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	606	0.050	0.088	0.130	1	0	0	Optic_B_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_C.prefab	Optic_C	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	932	0.064	0.124	0.202	1	0	0	Optic_C_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_D.prefab	Optic_D	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	786	0.051	0.090	0.160	1	0	0	Optic_D_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_E.prefab	Optic_E	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	858	0.060	0.086	0.088	1	0	0	Optic_E_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_F.prefab	Optic_F	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	858	0.055	0.103	0.090	1	0	0	Optic_F_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_G.prefab	Optic_G	4	4	1	StylizedToonWorldKit/Toon/Toon Lit	932	0.057	0.071	0.044	4	0	0	Optic_G_Sight_Back,Optic_G_Sight_Back_Part,Optic_G_Sight_Forward,Optic_G_Sight_Forward_Part
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_H.prefab	Optic_H	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	1798	0.066	0.146	0.176	1	0	0	Optic_H_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_I.prefab	Optic_I	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	1220	0.060	0.092	0.118	1	0	0	Optic_I_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_J.prefab	Optic_J	3	3	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	2128	0.064	0.135	0.195	2	0	0	Optic_j_Lens_A,Optic_j_Lens_B
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_K.prefab	Optic_K	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	1220	0.067	0.124	0.210	1	0	0	Optic_K_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Optics/Optics/Optic_L.prefab	Optic_L	4	4	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	2052	0.068	0.101	0.258	3	0	0	Optic_L_Lens,Optic_L_Part,Optic_L_Part_Lens
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/UnderBarrels/ForwardGrips/ForwardGrip_A.prefab	ForwardGrip_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	352	0.053	0.077	0.170	0	1	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/UnderBarrels/ForwardGrips/ForwardGrip_B.prefab	ForwardGrip_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	284	0.050	0.105	0.067	0	1	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/UnderBarrels/ForwardGrips/ForwardGrip_C.prefab	ForwardGrip_C	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	352	0.044	0.155	0.060	0	1	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/UnderBarrels/ForwardGrips/ForwardGrip_D.prefab	ForwardGrip_D	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	624	0.045	0.115	0.070	0	1	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/UnderBarrels/ForwardGrips/ForwardGrip_E.prefab	ForwardGrip_E	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	488	0.050	0.164	0.045	0	1	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/UnderBarrels/ForwardGrips/ForwardGrip_F.prefab	ForwardGrip_F	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	450	0.050	0.070	0.128	0	1	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/UnderBarrels/ForwardGrips/ForwardGrip_G.prefab	ForwardGrip_G	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	386	0.053	0.056	0.056	0	1	0	
