sourceAssetPath,sourcePack,observedModelIdentity,bucket,reason,proposedWeaponFamily,handedness,likelyFireMode,visualDistinctness,variantGroup,materialCount,rendererCount,geometryEstimate,boundsX,boundsY,boundsZ,longestAxis,gripAvailability,muzzleAvailability,toonCompatibility,shaders,recommendedDisposition,evidenceReference
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_D.prefab,PistolPack1,Optic_Pistol_D,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,2,2,736,0.039,0.052,0.056,0.056,none-authored,none-authored,toon,StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_E.prefab,PistolPack1,Optic_Pistol_E,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,2,2,606,0.045,0.045,0.051,0.051,none-authored,none-authored,toon,StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_F.prefab,PistolPack1,Optic_Pistol_F,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,2,2,1764,0.042,0.082,0.25,0.25,none-authored,none-authored,toon,StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Bullets/Bullet_Pistol_A.prefab,PistolPack1,Bullet_Pistol_A,AttachmentOrPart,"projectile or thrown VFX, not a held weapon",,,,,,1,2,148,0.012,0.013,0.032,0.032,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Bullets/Bullet_Pistol_B.prefab,PistolPack1,Bullet_Pistol_B,AttachmentOrPart,"projectile or thrown VFX, not a held weapon",,,,,,1,2,196,0.012,0.013,0.032,0.032,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Bullets/Bullet_Pistol_C.prefab,PistolPack1,Bullet_Pistol_C,AttachmentOrPart,"projectile or thrown VFX, not a held weapon",,,,,,1,2,172,0.012,0.013,0.033,0.033,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Bullets/Bullet_Pistol_D.prefab,PistolPack1,Bullet_Pistol_D,AttachmentOrPart,"projectile or thrown VFX, not a held weapon",,,,,,1,2,184,0.012,0.013,0.032,0.032,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_A.prefab,PistolPack1,Pistol_A,DuplicateModel,same mesh signature as integrated WPN_Sidearm_PistolA,,,,,WPN_Sidearm_PistolA,1,6,3120,0.05,0.215,0.386,0.386,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_B.prefab,PistolPack1,Pistol_B,DuplicateModel,same mesh signature as integrated WPN_Sidearm_Glock19,,,,,WPN_Sidearm_Glock19,1,5,2516,0.036,0.176,0.355,0.355,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_C.prefab,PistolPack1,Pistol_C,DuplicateModel,same mesh signature as integrated WPN_Sidearm_P226,,,,,WPN_Sidearm_P226,1,6,2330,0.037,0.169,0.348,0.348,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_D.prefab,PistolPack1,Pistol_D,DuplicateModel,same mesh signature as integrated WPN_Sidearm_M1911,,,,,WPN_Sidearm_M1911,1,6,3092,0.041,0.166,0.353,0.353,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_E.prefab,PistolPack1,Pistol_E,DuplicateModel,same mesh signature as integrated WPN_Sidearm_BerettaM9,,,,,WPN_Sidearm_BerettaM9,1,6,2680,0.036,0.171,0.315,0.315,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_F.prefab,PistolPack1,Pistol_F,DuplicateModel,same mesh signature as integrated WPN_Sidearm_USP45,,,,,WPN_Sidearm_USP45,1,7,3482,0.039,0.249,0.263,0.263,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_G.prefab,PistolPack1,Pistol_G,DuplicateModel,same mesh signature as integrated WPN_Sidearm_DesertEagle,,,,,WPN_Sidearm_DesertEagle,1,8,3532,0.051,0.148,0.193,0.193,child-hit:3,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_H.prefab,PistolPack1,Pistol_H,DuplicateModel,same mesh signature as integrated WPN_Sidearm_FiveSeven,,,,,WPN_Sidearm_FiveSeven,1,6,2942,0.038,0.246,0.268,0.268,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_I.prefab,PistolPack1,Pistol_I,DuplicateModel,same mesh signature as integrated WPN_Sidearm_Makarov,,,,,WPN_Sidearm_Makarov,1,7,2958,0.043,0.254,0.29,0.29,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_J.prefab,PistolPack1,Pistol_J,DuplicateModel,same mesh signature as integrated WPN_Sidearm_Python357,,,,,WPN_Sidearm_Python357,1,7,2874,0.039,0.27,0.292,0.292,child-hit:2,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_A/Rail_A_Down.prefab,ShotgunPack1,Rail_A_Down,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,184,0.033,0.012,0.138,0.138,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_A/Rail_A_Left.prefab,ShotgunPack1,Rail_A_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,184,0.012,0.033,0.138,0.138,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_A/Rail_A_Right.prefab,ShotgunPack1,Rail_A_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,184,0.012,0.033,0.138,0.138,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_A/Rail_A_Up.prefab,ShotgunPack1,Rail_A_Up,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,184,0.033,0.012,0.138,0.138,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_A_Left.prefab,ShotgunPack1,Laser_A_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,346,0.039,0.065,0.127,0.127,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_A_Right.prefab,ShotgunPack1,Laser_A_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,346,0.039,0.065,0.127,0.127,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_B_Left.prefab,ShotgunPack1,Laser_B_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,544,0.039,0.07,0.133,0.133,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_B_Right.prefab,ShotgunPack1,Laser_B_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,544,0.039,0.07,0.133,0.133,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_C_Left.prefab,ShotgunPack1,Laser_C_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,718,0.034,0.078,0.101,0.101,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_C_Right.prefab,ShotgunPack1,Laser_C_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,718,0.034,0.078,0.101,0.101,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_D_Left.prefab,ShotgunPack1,Laser_D_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,796,0.041,0.075,0.125,0.125,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_D_Right.prefab,ShotgunPack1,Laser_D_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,796,0.041,0.075,0.125,0.125,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_A_Left.prefab,ShotgunPack1,Light_A_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,2,520,0.056,0.049,0.187,0.187,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_A_Right.prefab,ShotgunPack1,Light_A_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,2,520,0.056,0.049,0.187,0.187,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_B_Left.prefab,ShotgunPack1,Light_B_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,2,622,0.045,0.071,0.138,0.138,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_B_Right.prefab,ShotgunPack1,Light_B_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,2,622,0.045,0.071,0.138,0.138,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_C_Left.prefab,ShotgunPack1,Light_C_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,456,0.028,0.038,0.061,0.061,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_C_Right.prefab,ShotgunPack1,Light_C_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,456,0.028,0.038,0.061,0.061,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_D_Left.prefab,ShotgunPack1,Light_D_Left,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,784,0.061,0.056,0.153,0.153,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_D_Right.prefab,ShotgunPack1,Light_D_Right,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,784,0.061,0.056,0.153,0.153,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Brake_A.prefab,ShotgunPack1,Muzzle_Brake_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,392,0.026,0.03,0.065,0.065,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Brake_B.prefab,ShotgunPack1,Muzzle_Brake_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,256,0.03,0.035,0.06,0.06,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Brake_C.prefab,ShotgunPack1,Muzzle_Brake_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,800,0.032,0.038,0.083,0.083,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Brake_D.prefab,ShotgunPack1,Muzzle_Brake_D,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,568,0.033,0.038,0.115,0.115,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_A.prefab,ShotgunPack1,Muzzle_Flash Hider_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,488,0.026,0.03,0.065,0.065,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_B.prefab,ShotgunPack1,Muzzle_Flash Hider_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,474,0.03,0.035,0.109,0.109,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_C.prefab,ShotgunPack1,Muzzle_Flash Hider_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,708,0.031,0.036,0.106,0.106,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_Flash Hider_D.prefab,ShotgunPack1,Muzzle_Flash Hider_D,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,620,0.026,0.03,0.069,0.069,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Device_A.prefab,ShotgunPack1,Muzzle_ShotGun_Device_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,312,0.042,0.048,0.15,0.15,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Device_B.prefab,ShotgunPack1,Muzzle_ShotGun_Device_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,860,0.035,0.04,0.062,0.062,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Barrels/Muzzles/Muzzle_ShotGun_Flash Hider_A.prefab,ShotgunPack1,Muzzle_ShotGun_Flash Hider_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,280,0.033,0.039,0.064,0.064,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
