asset_path,clip_name,profile,status,reason,runtime_keys
"Assets/Deadly Kombat Free version/body_hit_small_11.wav","body_hit_small_11","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.small.11|sfx.impact.flesh.light|sfx.impact.fur.light"
"Assets/Deadly Kombat Free version/body_hit_small_20.wav","body_hit_small_20","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.small.20|sfx.impact.flesh.light|sfx.impact.fur.light"
"Assets/Deadly Kombat Free version/body_hit_small_23.wav","body_hit_small_23","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.small.23|sfx.impact.flesh.light|sfx.impact.fur.light"
"Assets/Deadly Kombat Free version/body_hit_small_79.wav","body_hit_small_79","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.small.79|sfx.impact.flesh.light|sfx.impact.fur.light"
"Assets/Deadly Kombat Free version/bone_breaking_03.wav","bone_breaking_03","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.bone.breaking.03|sfx.creature.skeleton_giant.death|sfx.creature.skeleton_mage.death|sfx.creature.skeleton_small.death|sfx.impact.bone.heavy"
"Assets/Deadly Kombat Free version/bone_breaking_53.wav","bone_breaking_53","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.bone.breaking.53|sfx.creature.skeleton_giant.death|sfx.creature.skeleton_mage.death|sfx.creature.skeleton_small.death|sfx.impact.bone.heavy"
"Assets/Deadly Kombat Free version/face_hit_finisher_19.wav","face_hit_finisher_19","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.finisher.19|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/face_hit_finisher_40.wav","face_hit_finisher_40","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.finisher.40|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/face_hit_finisher_61.wav","face_hit_finisher_61","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.finisher.61|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/face_hit_finisher_73.wav","face_hit_finisher_73","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.finisher.73|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/face_hit_Large_20.wav","face_hit_Large_20","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.large.20|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/face_hit_Large_29.wav","face_hit_Large_29","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.large.29|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/face_hit_Large_78.wav","face_hit_Large_78","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.large.78|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/face_hit_small_01.wav","face_hit_small_01","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.small.01|sfx.impact.flesh.light|sfx.impact.fur.light"
"Assets/Deadly Kombat Free version/face_hit_small_13.wav","face_hit_small_13","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.small.13|sfx.impact.flesh.light|sfx.impact.fur.light"
"Assets/Deadly Kombat Free version/face_hit_small_23.wav","face_hit_small_23","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.small.23|sfx.impact.flesh.light|sfx.impact.fur.light"
"Assets/Deadly Kombat Free version/face_hit_small_78.wav","face_hit_small_78","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.face.hit.small.78|sfx.impact.flesh.light|sfx.impact.fur.light"
"Assets/Deadly Kombat Free version/fire_punch_02.wav","fire_punch_02","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.fire.punch.02"
"Assets/Deadly Kombat Free version/fire_punch_finisher_06.wav","fire_punch_finisher_06","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.fire.punch.finisher.06|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/guts_and_gore_19.wav","guts_and_gore_19","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.guts.and.gore.19|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/guts_and_gore_59.wav","guts_and_gore_59","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.guts.and.gore.59|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/guts_and_gore_68.wav","guts_and_gore_68","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.guts.and.gore.68|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/kick_long_whoosh_19.wav","kick_long_whoosh_19","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.kick.long.whoosh.19|sfx.creature.skeleton_giant.attack|sfx.creature.skeleton_mage.attack|sfx.creature.skeleton_small.attack|sfx.player.bomb.throw"
"Assets/Deadly Kombat Free version/kick_short_whoosh_12.wav","kick_short_whoosh_12","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.kick.short.whoosh.12|sfx.creature.skeleton_giant.attack|sfx.creature.skeleton_mage.attack|sfx.creature.skeleton_small.attack|sfx.player.bomb.throw"
"Assets/Deadly Kombat Free version/kick_short_whoosh_23.wav","kick_short_whoosh_23","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.kick.short.whoosh.23|sfx.creature.skeleton_giant.attack|sfx.creature.skeleton_mage.attack|sfx.creature.skeleton_small.attack|sfx.player.bomb.throw"
"Assets/Deadly Kombat Free version/metal_punch_06.wav","metal_punch_06","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.metal.punch.06|sfx.player.bomb.bounce|sfx.prop.barrel.hit"
"Assets/Deadly Kombat Free version/metal_punch_finisher_07.wav","metal_punch_finisher_07","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.metal.punch.finisher.07|sfx.impact.flesh.heavy|sfx.impact.fur.heavy|sfx.player.bomb.bounce|sfx.prop.barrel.hit"
"Assets/Deadly Kombat Free version/punch_long_whoosh_21.wav","punch_long_whoosh_21","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.punch.long.whoosh.21|sfx.creature.skeleton_giant.attack|sfx.creature.skeleton_mage.attack|sfx.creature.skeleton_small.attack|sfx.player.bomb.throw"
"Assets/Deadly Kombat Free version/punch_long_whoosh_30.wav","punch_long_whoosh_30","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.punch.long.whoosh.30|sfx.creature.skeleton_giant.attack|sfx.creature.skeleton_mage.attack|sfx.creature.skeleton_small.attack|sfx.player.bomb.throw"
"Assets/Deadly Kombat Free version/punch_short_whoosh_16.wav","punch_short_whoosh_16","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.punch.short.whoosh.16|sfx.creature.skeleton_giant.attack|sfx.creature.skeleton_mage.attack|sfx.creature.skeleton_small.attack|sfx.player.bomb.throw"
"Assets/Deadly Kombat Free version/punch_short_whoosh_30.wav","punch_short_whoosh_30","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.punch.short.whoosh.30|sfx.creature.skeleton_giant.attack|sfx.creature.skeleton_mage.attack|sfx.creature.skeleton_small.attack|sfx.player.bomb.throw"
"Assets/Deadly Kombat Free version/somersalt_01.wav","somersalt_01","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.somersalt.01"
"Assets/Deadly Kombat Free version/somersalt_10.wav","somersalt_10","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.somersalt.10"
"Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","wood_bat_finisher_01","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.wood.bat.finisher.01|sfx.creature.plant_boss.death|sfx.creature.plant_boss.hurt|sfx.creature.plant_heavy.death|sfx.creature.plant_heavy.hurt|sfx.creature.plant_small.death|sfx.creature.plant_small.hurt|sfx.impact.flesh.heavy|sfx.impact.fur.heavy|sfx.impact.plant.light|sfx.prop.crate.break|sfx.prop.crate.hit"
"Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","wood_bat_finisher_05","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.wood.bat.finisher.05|sfx.creature.plant_boss.death|sfx.creature.plant_boss.hurt|sfx.creature.plant_heavy.death|sfx.creature.plant_heavy.hurt|sfx.creature.plant_small.death|sfx.creature.plant_small.hurt|sfx.impact.flesh.heavy|sfx.impact.fur.heavy|sfx.impact.plant.light|sfx.prop.crate.break|sfx.prop.crate.hit"
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete01FastWalkingLoop.wav","Concrete01FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete01Jump.wav","Concrete01Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete01RunningLoop.wav","Concrete01RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete01WalkingLoop.wav","Concrete01WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete02FastWalkingLoop.wav","Concrete02FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete02Jump.wav","Concrete02Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete02RunningLoop.wav","Concrete02RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete02WalkingLoop.wav","Concrete02WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete03FastWalkingLoop.wav","Concrete03FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete03Jump.wav","Concrete03Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete03RunningLoop.wav","Concrete03RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete03WalkingLoop.wav","Concrete03WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete04FastWalkingLoop.wav","Concrete04FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete04Jump.wav","Concrete04Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete04RunningLoop.wav","Concrete04RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete04WalkingLoop.wav","Concrete04WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete05Jumping.wav","Concrete05Jumping","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete05RunningLoop.wav","Concrete05RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete05WalkingLoop.wav","Concrete05WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete06FastWalkingLoop.wav","Concrete06FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete06Jump.wav","Concrete06Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete06RunningLoop.wav","Concrete06RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete06WalkingLoop.wav","Concrete06WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete07Jump.wav","Concrete07Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete07RunningLoop.wav","Concrete07RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete07WalkingLoop.wav","Concrete07WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete08FastWalking.wav","Concrete08FastWalking","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete08Jump.wav","Concrete08Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete08RunningLoop.wav","Concrete08RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete08WalkingLoop.wav","Concrete08WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete09FastWalkingLoop.wav","Concrete09FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete09Jump.wav","Concrete09Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete09RunningLoop.wav","Concrete09RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete09WalkingLoop.wav","Concrete09WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete10FastWalkingLoop.wav","Concrete10FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete10Jump.wav","Concrete10Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete10RunningLoop.wav","Concrete10RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete10WalkingLoop.wav","Concrete10WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete11FastWalkingLoop.wav","Concrete11FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete11Jump.wav","Concrete11Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete11RunningLoop.wav","Concrete11RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete11WalkingLoop.wav","Concrete11WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete12FastWalkingLoop.wav","Concrete12FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete12Jump.wav","Concrete12Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete12RunningLoop.wav","Concrete12RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete12WalkingLoop.wav","Concrete12WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete13FastWalkingLoop.wav","Concrete13FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete13Jump.wav","Concrete13Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete13RunningLoop.wav","Concrete13RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete13WalkingLoop.wav","Concrete13WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete14FastWalkingLoop.wav","Concrete14FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete14Jump.wav","Concrete14Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete14RunningLoop.wav","Concrete14RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete14WalkingLoop.wav","Concrete14WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete15FastWalkingLoop.wav","Concrete15FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete15Jump.wav","Concrete15Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete15RunningLoop.wav","Concrete15RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete15WalkingLoop.wav","Concrete15WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete16FastWalkingLoop.wav","Concrete16FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete16Jump.wav","Concrete16Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete16RunningLoop.wav","Concrete16RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete16WalkingLoop.wav","Concrete16WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete17FastWalkingLoop.wav","Concrete17FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete17RunningLoop.wav","Concrete17RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete17WalkingLoop.wav","Concrete17WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete18FastWalkingLoop.wav","Concrete18FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete18Jump.wav","Concrete18Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete18RunnigLoop.wav","Concrete18RunnigLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete18WalkingLoop.wav","Concrete18WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete19FastWalkingLoop.wav","Concrete19FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete19Jump.wav","Concrete19Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete19RunningLoop.wav","Concrete19RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete19WalkingLoop.wav","Concrete19WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete20Jump.wav","Concrete20Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete20RunningLoop.wav","Concrete20RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete20WalkingLoop.wav","Concrete20WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete21FastWalkingLoop.wav","Concrete21FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete21Jump.wav","Concrete21Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete21RunningLoop.wav","Concrete21RunningLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete21WalkingLoop.wav","Concrete21WalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete22FastWalkingLoop.wav","Concrete22FastWalkingLoop","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
"Assets/Footsteps Pack Expanded/Loops/Concrete/Concrete22Jump.wav","Concrete22Jump","player_movement","SOURCE_ONLY","audited-only: footstep breadth cut from mobile build",""
