runtime_key,asset_path,addressable_label,profile,use_case
"sfx.creature.skeleton_mage.hurt","Assets/Deadly Kombat Free version/block_small_73.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.hurt","Assets/Deadly Kombat Free version/block_small_73.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.bone.light","Assets/Deadly Kombat Free version/block_small_73.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.finisher.23","Assets/Deadly Kombat Free version/body_hit_finisher_23.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/body_hit_finisher_23.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/body_hit_finisher_23.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.finisher.27","Assets/Deadly Kombat Free version/body_hit_finisher_27.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/body_hit_finisher_27.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/body_hit_finisher_27.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.finisher.42","Assets/Deadly Kombat Free version/body_hit_finisher_42.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/body_hit_finisher_42.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/body_hit_finisher_42.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.finisher.52","Assets/Deadly Kombat Free version/body_hit_finisher_52.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/body_hit_finisher_52.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/body_hit_finisher_52.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.large.32","Assets/Deadly Kombat Free version/body_hit_large_32.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/body_hit_large_32.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/body_hit_large_32.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.large.44","Assets/Deadly Kombat Free version/body_hit_large_44.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/body_hit_large_44.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/body_hit_large_44.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.large.76","Assets/Deadly Kombat Free version/body_hit_large_76.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/body_hit_large_76.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/body_hit_large_76.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.small.11","Assets/Deadly Kombat Free version/body_hit_small_11.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.light","Assets/Deadly Kombat Free version/body_hit_small_11.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.light","Assets/Deadly Kombat Free version/body_hit_small_11.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.small.20","Assets/Deadly Kombat Free version/body_hit_small_20.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.light","Assets/Deadly Kombat Free version/body_hit_small_20.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.light","Assets/Deadly Kombat Free version/body_hit_small_20.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.small.23","Assets/Deadly Kombat Free version/body_hit_small_23.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.light","Assets/Deadly Kombat Free version/body_hit_small_23.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.light","Assets/Deadly Kombat Free version/body_hit_small_23.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.body.hit.small.79","Assets/Deadly Kombat Free version/body_hit_small_79.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.light","Assets/Deadly Kombat Free version/body_hit_small_79.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.light","Assets/Deadly Kombat Free version/body_hit_small_79.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.bone.breaking.03","Assets/Deadly Kombat Free version/bone_breaking_03.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.death","Assets/Deadly Kombat Free version/bone_breaking_03.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.death","Assets/Deadly Kombat Free version/bone_breaking_03.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.death","Assets/Deadly Kombat Free version/bone_breaking_03.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.bone.heavy","Assets/Deadly Kombat Free version/bone_breaking_03.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.bone.breaking.53","Assets/Deadly Kombat Free version/bone_breaking_53.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.death","Assets/Deadly Kombat Free version/bone_breaking_53.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.death","Assets/Deadly Kombat Free version/bone_breaking_53.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.death","Assets/Deadly Kombat Free version/bone_breaking_53.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.bone.heavy","Assets/Deadly Kombat Free version/bone_breaking_53.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.finisher.19","Assets/Deadly Kombat Free version/face_hit_finisher_19.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/face_hit_finisher_19.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/face_hit_finisher_19.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.finisher.40","Assets/Deadly Kombat Free version/face_hit_finisher_40.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/face_hit_finisher_40.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/face_hit_finisher_40.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.finisher.61","Assets/Deadly Kombat Free version/face_hit_finisher_61.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/face_hit_finisher_61.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/face_hit_finisher_61.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.finisher.73","Assets/Deadly Kombat Free version/face_hit_finisher_73.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/face_hit_finisher_73.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/face_hit_finisher_73.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.large.20","Assets/Deadly Kombat Free version/face_hit_Large_20.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/face_hit_Large_20.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/face_hit_Large_20.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.large.29","Assets/Deadly Kombat Free version/face_hit_Large_29.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/face_hit_Large_29.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/face_hit_Large_29.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.large.78","Assets/Deadly Kombat Free version/face_hit_Large_78.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/face_hit_Large_78.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/face_hit_Large_78.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.small.01","Assets/Deadly Kombat Free version/face_hit_small_01.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.light","Assets/Deadly Kombat Free version/face_hit_small_01.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.light","Assets/Deadly Kombat Free version/face_hit_small_01.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.small.13","Assets/Deadly Kombat Free version/face_hit_small_13.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.light","Assets/Deadly Kombat Free version/face_hit_small_13.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.light","Assets/Deadly Kombat Free version/face_hit_small_13.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.small.23","Assets/Deadly Kombat Free version/face_hit_small_23.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.light","Assets/Deadly Kombat Free version/face_hit_small_23.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.light","Assets/Deadly Kombat Free version/face_hit_small_23.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.face.hit.small.78","Assets/Deadly Kombat Free version/face_hit_small_78.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.light","Assets/Deadly Kombat Free version/face_hit_small_78.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.light","Assets/Deadly Kombat Free version/face_hit_small_78.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.fire.punch.02","Assets/Deadly Kombat Free version/fire_punch_02.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"library.deadly.kombat.free.version.fire.punch.finisher.06","Assets/Deadly Kombat Free version/fire_punch_finisher_06.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/fire_punch_finisher_06.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/fire_punch_finisher_06.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.guts.and.gore.19","Assets/Deadly Kombat Free version/guts_and_gore_19.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/guts_and_gore_19.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/guts_and_gore_19.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.guts.and.gore.59","Assets/Deadly Kombat Free version/guts_and_gore_59.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/guts_and_gore_59.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/guts_and_gore_59.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.guts.and.gore.68","Assets/Deadly Kombat Free version/guts_and_gore_68.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/guts_and_gore_68.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/guts_and_gore_68.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.kick.long.whoosh.19","Assets/Deadly Kombat Free version/kick_long_whoosh_19.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.attack","Assets/Deadly Kombat Free version/kick_long_whoosh_19.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.attack","Assets/Deadly Kombat Free version/kick_long_whoosh_19.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.attack","Assets/Deadly Kombat Free version/kick_long_whoosh_19.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.player.bomb.throw","Assets/Deadly Kombat Free version/kick_long_whoosh_19.wav","zw-audio-world","impact","gameplay SFX"
"library.deadly.kombat.free.version.kick.short.whoosh.12","Assets/Deadly Kombat Free version/kick_short_whoosh_12.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.attack","Assets/Deadly Kombat Free version/kick_short_whoosh_12.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.attack","Assets/Deadly Kombat Free version/kick_short_whoosh_12.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.attack","Assets/Deadly Kombat Free version/kick_short_whoosh_12.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.player.bomb.throw","Assets/Deadly Kombat Free version/kick_short_whoosh_12.wav","zw-audio-world","impact","gameplay SFX"
"library.deadly.kombat.free.version.kick.short.whoosh.23","Assets/Deadly Kombat Free version/kick_short_whoosh_23.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.attack","Assets/Deadly Kombat Free version/kick_short_whoosh_23.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.attack","Assets/Deadly Kombat Free version/kick_short_whoosh_23.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.attack","Assets/Deadly Kombat Free version/kick_short_whoosh_23.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.player.bomb.throw","Assets/Deadly Kombat Free version/kick_short_whoosh_23.wav","zw-audio-world","impact","gameplay SFX"
"library.deadly.kombat.free.version.metal.punch.06","Assets/Deadly Kombat Free version/metal_punch_06.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.player.bomb.bounce","Assets/Deadly Kombat Free version/metal_punch_06.wav","zw-audio-world","impact","gameplay SFX"
"sfx.prop.barrel.hit","Assets/Deadly Kombat Free version/metal_punch_06.wav","zw-audio-world","impact","destructible world prop"
"library.deadly.kombat.free.version.metal.punch.finisher.07","Assets/Deadly Kombat Free version/metal_punch_finisher_07.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/metal_punch_finisher_07.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/metal_punch_finisher_07.wav","zw-audio-world","impact","3D material impact"
"sfx.player.bomb.bounce","Assets/Deadly Kombat Free version/metal_punch_finisher_07.wav","zw-audio-world","impact","gameplay SFX"
"sfx.prop.barrel.hit","Assets/Deadly Kombat Free version/metal_punch_finisher_07.wav","zw-audio-world","impact","destructible world prop"
"library.deadly.kombat.free.version.punch.long.whoosh.21","Assets/Deadly Kombat Free version/punch_long_whoosh_21.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.attack","Assets/Deadly Kombat Free version/punch_long_whoosh_21.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.attack","Assets/Deadly Kombat Free version/punch_long_whoosh_21.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.attack","Assets/Deadly Kombat Free version/punch_long_whoosh_21.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.player.bomb.throw","Assets/Deadly Kombat Free version/punch_long_whoosh_21.wav","zw-audio-world","impact","gameplay SFX"
"library.deadly.kombat.free.version.punch.long.whoosh.30","Assets/Deadly Kombat Free version/punch_long_whoosh_30.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.attack","Assets/Deadly Kombat Free version/punch_long_whoosh_30.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.attack","Assets/Deadly Kombat Free version/punch_long_whoosh_30.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.attack","Assets/Deadly Kombat Free version/punch_long_whoosh_30.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.player.bomb.throw","Assets/Deadly Kombat Free version/punch_long_whoosh_30.wav","zw-audio-world","impact","gameplay SFX"
"library.deadly.kombat.free.version.punch.short.whoosh.16","Assets/Deadly Kombat Free version/punch_short_whoosh_16.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.attack","Assets/Deadly Kombat Free version/punch_short_whoosh_16.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.attack","Assets/Deadly Kombat Free version/punch_short_whoosh_16.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.attack","Assets/Deadly Kombat Free version/punch_short_whoosh_16.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.player.bomb.throw","Assets/Deadly Kombat Free version/punch_short_whoosh_16.wav","zw-audio-world","impact","gameplay SFX"
"library.deadly.kombat.free.version.punch.short.whoosh.30","Assets/Deadly Kombat Free version/punch_short_whoosh_30.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.attack","Assets/Deadly Kombat Free version/punch_short_whoosh_30.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.attack","Assets/Deadly Kombat Free version/punch_short_whoosh_30.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.attack","Assets/Deadly Kombat Free version/punch_short_whoosh_30.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.player.bomb.throw","Assets/Deadly Kombat Free version/punch_short_whoosh_30.wav","zw-audio-world","impact","gameplay SFX"
"library.deadly.kombat.free.version.somersalt.01","Assets/Deadly Kombat Free version/somersalt_01.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"library.deadly.kombat.free.version.somersalt.10","Assets/Deadly Kombat Free version/somersalt_10.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"library.deadly.kombat.free.version.wood.bat.finisher.01","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.plant_boss.death","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_boss.hurt","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_heavy.death","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_heavy.hurt","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_small.death","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_small.hurt","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.plant.light","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","3D material impact"
"sfx.prop.crate.break","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","destructible world prop"
"sfx.prop.crate.hit","Assets/Deadly Kombat Free version/wood_bat_finisher_01.wav","zw-audio-world","impact","destructible world prop"
"library.deadly.kombat.free.version.wood.bat.finisher.05","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.plant_boss.death","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_boss.hurt","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_heavy.death","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_heavy.hurt","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_small.death","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.plant_small.hurt","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.plant.light","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","3D material impact"
"sfx.prop.crate.break","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","destructible world prop"
"sfx.prop.crate.hit","Assets/Deadly Kombat Free version/wood_bat_finisher_05.wav","zw-audio-world","impact","destructible world prop"
"library.footsteps.pack.expanded.singlesteps.concretesteps.concretesingelsteps01","Assets/Footsteps Pack Expanded/SingleSteps/ConcreteSteps/ConcreteSingelSteps01.wav","zw-audio-footsteps","player_movement","catalogued source; direct runtime use not required"
"sfx.footstep.player.concrete","Assets/Footsteps Pack Expanded/SingleSteps/ConcreteSteps/ConcreteSingelSteps01.wav","zw-audio-footsteps","player_movement","player movement"
"library.footsteps.pack.expanded.singlesteps.concretesteps.concretesingelsteps02","Assets/Footsteps Pack Expanded/SingleSteps/ConcreteSteps/ConcreteSingelSteps02.wav","zw-audio-footsteps","player_movement","catalogued source; direct runtime use not required"
