assetName,weaponId,family,twoHanded,catalogOrder,tier,authoringStatus,tris,longestAxis,prefabPath,vendorMats
WD_Shotgun_ModernP,weapon.shotgun.modern_p,Shotgun,True,40,Common,PendingOwnerAuthoring,6974,0.658,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_ModernP.prefab,0
WD_Sidearm_ModernR,weapon.sidearm.modern_r,Sidearm,False,41,Common,PendingOwnerAuthoring,5016,0.393,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_ModernR.prefab,0
WD_Sidearm_MachinePistolP,weapon.sidearm.machine_pistol_p,Sidearm,False,42,Common,PendingOwnerAuthoring,6084,0.283,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_MachinePistolP.prefab,0
WD_Sidearm_M1911Vol1,weapon.sidearm.m1911_vol1,Sidearm,False,43,Common,PendingOwnerAuthoring,2432,0.360,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_M1911Vol1.prefab,0
WD_AssaultRifle_ModernW,weapon.assault_rifle.modern_w,AssaultRifle,True,44,Common,PendingOwnerAuthoring,20708,0.660,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_ModernW.prefab,0
WD_AssaultRifle_ModernX,weapon.assault_rifle.modern_x,AssaultRifle,True,45,Common,PendingOwnerAuthoring,15900,0.948,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_ModernX.prefab,0
WD_AssaultRifle_VintageA,weapon.assault_rifle.vintage_a,AssaultRifle,True,46,Common,PendingOwnerAuthoring,6856,0.976,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_VintageA.prefab,0
WD_AssaultRifle_VintageB,weapon.assault_rifle.vintage_b,AssaultRifle,True,47,Common,PendingOwnerAuthoring,7414,1.163,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_VintageB.prefab,0
WD_AssaultRifle_LegacyA2,weapon.assault_rifle.legacy_a2,AssaultRifle,True,48,Common,PendingOwnerAuthoring,6978,0.761,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_LegacyA2.prefab,0
WD_AssaultRifle_LegacyM4,weapon.assault_rifle.legacy_m4,AssaultRifle,True,49,Common,PendingOwnerAuthoring,7866,0.724,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_LegacyM4.prefab,0
WD_AssaultRifle_ModernT,weapon.assault_rifle.modern_t,AssaultRifle,True,50,Common,PendingOwnerAuthoring,10302,0.640,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_ModernT.prefab,0
WD_AssaultRifle_ModernU,weapon.assault_rifle.modern_u,AssaultRifle,True,51,Common,PendingOwnerAuthoring,11484,0.554,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_ModernU.prefab,0
WD_AssaultRifle_LegacyD,weapon.assault_rifle.legacy_d,AssaultRifle,True,52,Common,PendingOwnerAuthoring,4070,0.560,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_LegacyD.prefab,0
WD_Launcher_ModernG,weapon.launcher.modern_g,AssaultRifle,True,53,Common,BlockedNeedsProjectileFireMode,11038,1.077,Assets/_Project/Prefabs/Weapons/WPN_Launcher_ModernG.prefab,0
