path	pack	name	tris	bx	by	bz	renderers	mats	shaders	hasGrip
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Items/Card_A.prefab	SeriesV4	Card_A	192	0.0550	0.0341	0.0017	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Bolt_C.prefab	SeriesV4	Bolt_C	1110	0.0742	0.0225	0.2275	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Bolt_C_Sand.prefab	SeriesV4	Bolt_C_Sand	1110	0.0742	0.0225	0.2275	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Bolt_D.prefab	SeriesV4	Bolt_D	1986	0.0970	0.0231	0.2268	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Bolt_D_Sand.prefab	SeriesV4	Bolt_D_Sand	1986	0.0970	0.0231	0.2268	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Laser_Pistol_D.prefab	SeriesV4	Laser_Pistol_D	1610	0.0460	0.0520	0.1009	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Mag_D.prefab	SeriesV4	Mag_D	1310	0.0410	0.2725	0.1896	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Mag_E.prefab	SeriesV4	Mag_E	4422	0.0475	0.2840	0.1723	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Mag_F.prefab	SeriesV4	Mag_F	2930	0.0510	0.3020	0.1773	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Muzzle_Pistol_Suppressor_D.prefab	SeriesV4	Muzzle_Pistol_Suppressor_D	2132	0.0300	0.0347	0.2000	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Optic_AT.prefab	SeriesV4	Optic_AT	5802	0.0865	0.1274	0.2355	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Attachments/Optic_Pistol_J.prefab	SeriesV4	Optic_Pistol_J	1182	0.0345	0.0496	0.0613	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Bullets/Bullet_H.prefab	SeriesV4	Bullet_H	340	0.0121	0.0140	0.0644	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Bullets/Bullet_Rifle_A.prefab	SeriesV4	Bullet_Rifle_A	244	0.0137	0.0158	0.0528	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Items/Card_B.prefab	SeriesV4	Card_B	192	0.0550	0.0341	0.0017	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Items/Tatical Radio.prefab	SeriesV4	Tatical Radio	4380	0.0952	0.3098	0.0325	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 2/Items/Tatical Tablet.prefab	SeriesV4	Tatical Tablet	1018	0.2873	0.1665	0.0235	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/Light_L_Left.prefab	SeriesV4	Light_L_Left	2868	0.0503	0.0649	0.2633	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/Light_L_Right.prefab	SeriesV4	Light_L_Right	2868	0.0503	0.0649	0.2633	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/Mag_G.prefab	SeriesV4	Mag_G	1040	0.0410	0.1859	0.0942	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/Mag_G_2.prefab	SeriesV4	Mag_G_2	1106	0.0425	0.1346	0.0942	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/MagKit_C.prefab	SeriesV4	MagKit_C	1372	0.1027	0.0585	0.1087	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/MagKit_D.prefab	SeriesV4	MagKit_D	404	0.0711	0.0417	0.1255	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/Muzzle_Flash Hider_L.prefab	SeriesV4	Muzzle_Flash Hider_L	1192	0.0311	0.0359	0.1013	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/Muzzle_Suppressor_N.prefab	SeriesV4	Muzzle_Suppressor_N	2604	0.0456	0.0516	0.2293	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/Optic_AS.prefab	SeriesV4	Optic_AS	1482	0.0620	0.0951	0.1348	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Attachments/Optic_Recon_W.prefab	SeriesV4	Optic_Recon_W	4250	0.1536	0.1155	0.4985	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Bullets/Bullet_Recon_G.prefab	SeriesV4	Bullet_Recon_G	340	0.0175	0.0203	0.1078	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Grenades/Flash Grenade_B.prefab	SeriesV4	Flash Grenade_B	2096	0.1051	0.2211	0.0567	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Grenades/Frag Grenade_B.prefab	SeriesV4	Frag Grenade_B	1902	0.0792	0.1378	0.0750	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Items/Charm_A.prefab	SeriesV4	Charm_A	716	0.0184	0.0304	0.0300	4	5	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Items/Gun Wall_A.prefab	SeriesV4	Gun Wall_A	1436	0.0250	0.5000	1.0000	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Items/Gun Wall_Hook_A_Left.prefab	SeriesV4	Gun Wall_Hook_A_Left	178	0.1113	0.0750	0.1000	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 3/Items/Gun Wall_Hook_A_Right.prefab	SeriesV4	Gun Wall_Hook_A_Right	178	0.1113	0.0750	0.1000	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Attachments/WWII_Muzzle_Device_D.prefab	SeriesV4	WWII_Muzzle_Device_D	3032	0.0327	0.0378	0.2130	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Attachments/WWII_Muzzle_Device_E.prefab	SeriesV4	WWII_Muzzle_Device_E	364	0.0291	0.0336	0.0886	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Attachments/WWII_Muzzle_Device_F.prefab	SeriesV4	WWII_Muzzle_Device_F	208	0.0427	0.0494	0.0760	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Attachments/WWII_Optic_Close_Range_B.prefab	SeriesV4	WWII_Optic_Close_Range_B	1798	0.0365	0.0422	0.1135	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Attachments/WWII_Optic_Middle_Range_B.prefab	SeriesV4	WWII_Optic_Middle_Range_B	1292	0.0502	0.0779	0.3645	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Attachments/WWII_Optic_Remote_Range_B.prefab	SeriesV4	WWII_Optic_Remote_Range_B	1856	0.0303	0.0494	0.3888	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Bullets/WWII_Bullet_Recon_B.prefab	SeriesV4	WWII_Bullet_Recon_B	232	0.0133	0.0153	0.0776	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Bullets/WWII_Bullet_Rifle_B.prefab	SeriesV4	WWII_Bullet_Rifle_B	232	0.0126	0.0146	0.0705	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Bullets/WWII_Bullet_SMG_B.prefab	SeriesV4	WWII_Bullet_SMG_B	196	0.0107	0.0124	0.0241	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Bullets/WWII_Recon_B_Bullet Clip.prefab	SeriesV4	WWII_Recon_B_Bullet Clip	792	0.0200	0.0845	0.0080	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Bullets/WWII_Rifle_B_Bullet Clip.prefab	SeriesV4	WWII_Rifle_B_Bullet Clip	364	0.0275	0.0630	0.0350	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Close Combat/Combat Knife_A.prefab	SeriesV4	Combat Knife_A	868	0.0384	0.0675	0.3663	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Close Combat/Shovel_A.prefab	SeriesV4	Shovel_A	1194	0.0426	0.1935	0.8785	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Items/Charm_B.prefab	SeriesV4	Charm_B	524	0.0184	0.0413	0.0300	4	5	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/PreSet/WWII_LMG_B_PreSet.prefab	SeriesV4	WWII_LMG_B_PreSet	11472	0.1040	0.2220	0.7575	16	16	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/PreSet/WWII_Recon_B_PreSet.prefab	SeriesV4	WWII_Recon_B_PreSet	10466	0.0597	0.2099	1.3583	9	9	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/PreSet/WWII_Rifle_A_PreSet.prefab	SeriesV4	WWII_Rifle_A_PreSet	8512	0.0561	0.2423	0.9763	10	10	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/PreSet/WWII_Rifle_B_PreSet.prefab	SeriesV4	WWII_Rifle_B_PreSet	11738	0.0715	0.2447	1.1633	8	8	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/PreSet/WWII_SMG_B_PreSet.prefab	SeriesV4	WWII_SMG_B_PreSet	6716	0.0465	0.3317	0.5030	12	12	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/WWII_LMG_B.prefab	SeriesV4	WWII_LMG_B	9466	0.1040	0.2220	0.7575	13	13	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/WWII_Recon_B.prefab	SeriesV4	WWII_Recon_B	7434	0.0597	0.2099	1.3583	8	8	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/WWII_Rifle_A.prefab	SeriesV4	WWII_Rifle_A	6856	0.0561	0.2423	0.9763	7	7	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/WWII_Rifle_B.prefab	SeriesV4	WWII_Rifle_B	7414	0.0632	0.2447	1.1633	5	5	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 4 New/Weapons/WWII_SMG_B.prefab	SeriesV4	WWII_SMG_B	4554	0.0465	0.3317	0.5030	9	9	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/AR_W.prefab	SeriesV4	AR_W	20708	0.1052	0.3147	0.6605	18	18	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/AR_X.prefab	SeriesV4	AR_X	15900	0.0995	0.2922	0.9483	9	9	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/Launcher_G.prefab	SeriesV4	Launcher_G	11038	0.1475	0.3154	1.0766	10	10	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/Pistol_R.prefab	SeriesV4	Pistol_R	5016	0.0548	0.1308	0.3925	7	7	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/ShotGun_P.prefab	SeriesV4	ShotGun_P	6974	0.0433	0.1870	0.6580	9	9	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/Weapon_PreSet/AR_W_PreSet.prefab	SeriesV4	AR_W_PreSet	31656	0.1052	0.3147	0.6605	24	24	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/Weapon_PreSet/AR_X_PreSet.prefab	SeriesV4	AR_X_PreSet	20396	0.1002	0.2922	0.9483	16	16	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/Weapon_PreSet/Launcher_G_PreSet.prefab	SeriesV4	Launcher_G_PreSet	16838	0.1475	0.3154	1.0766	14	14	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/Weapon_PreSet/Pistol_R_PreSet.prefab	SeriesV4	Pistol_R_PreSet	8556	0.0548	0.1348	0.4150	11	11	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/New/Weapons/Weapon_PreSet/ShotGun_P_PreSet.prefab	SeriesV4	ShotGun_P_PreSet	11926	0.0654	0.1870	0.6580	16	16	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Rails_Pistol/Rail_Pistol_A.prefab	SeriesV4	Rail_Pistol_A	140	0.0250	0.0100	0.0565	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Rails_Pistol/Rail_Pistol_B.prefab	SeriesV4	Rail_Pistol_B	140	0.0250	0.0100	0.0565	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Rails_Pistol/Rail_Pistol_C.prefab	SeriesV4	Rail_Pistol_C	220	0.0250	0.0100	0.0565	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Tatical Lasers_Pistol/Laser_Pistol_A.prefab	SeriesV4	Laser_Pistol_A	548	0.0325	0.0375	0.0850	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Tatical Lasers_Pistol/Laser_Pistol_B.prefab	SeriesV4	Laser_Pistol_B	756	0.0425	0.0513	0.0875	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Tatical Lasers_Pistol/Laser_Pistol_C.prefab	SeriesV4	Laser_Pistol_C	1332	0.0350	0.0518	0.0910	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Tatical Lights_Pistol/Light_Pistol_A.prefab	SeriesV4	Light_Pistol_A	584	0.0363	0.0467	0.1650	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Tatical Lights_Pistol/Light_Pistol_B.prefab	SeriesV4	Light_Pistol_B	544	0.0385	0.0476	0.1076	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Accessories_Pistol/Tatical Lights_Pistol/Light_Pistol_C.prefab	SeriesV4	Light_Pistol_C	1022	0.0375	0.0489	0.1300	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_A/BarrelGuard_Chip_A_Down.prefab	SeriesV4	BarrelGuard_Chip_A_Down	372	0.0525	0.0151	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_A/BarrelGuard_Chip_A_Left.prefab	SeriesV4	BarrelGuard_Chip_A_Left	372	0.0151	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_A/BarrelGuard_Chip_A_Right.prefab	SeriesV4	BarrelGuard_Chip_A_Right	372	0.0151	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_A/BarrelGuard_Chip_A_Up.prefab	SeriesV4	BarrelGuard_Chip_A_Up	372	0.0525	0.0151	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_B/BarrelGuard_Chip_B_Down.prefab	SeriesV4	BarrelGuard_Chip_B_Down	744	0.0525	0.0151	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_B/BarrelGuard_Chip_B_Left.prefab	SeriesV4	BarrelGuard_Chip_B_Left	744	0.0151	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_B/BarrelGuard_Chip_B_Right.prefab	SeriesV4	BarrelGuard_Chip_B_Right	744	0.0151	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_B/BarrelGuard_Chip_B_Up.prefab	SeriesV4	BarrelGuard_Chip_B_Up	744	0.0525	0.0151	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_C/BarrelGuard_Chip_C_Down.prefab	SeriesV4	BarrelGuard_Chip_C_Down	1252	0.0525	0.0176	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_C/BarrelGuard_Chip_C_Left.prefab	SeriesV4	BarrelGuard_Chip_C_Left	1252	0.0176	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_C/BarrelGuard_Chip_C_Right.prefab	SeriesV4	BarrelGuard_Chip_C_Right	1252	0.0176	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_C/BarrelGuard_Chip_C_Up.prefab	SeriesV4	BarrelGuard_Chip_C_Up	1252	0.0525	0.0176	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_D/BarrelGuard_Chip_D_Down.prefab	SeriesV4	BarrelGuard_Chip_D_Down	1650	0.0525	0.0171	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_D/BarrelGuard_Chip_D_Left.prefab	SeriesV4	BarrelGuard_Chip_D_Left	1650	0.0171	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_D/BarrelGuard_Chip_D_Right.prefab	SeriesV4	BarrelGuard_Chip_D_Right	1650	0.0171	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_D/BarrelGuard_Chip_D_Up.prefab	SeriesV4	BarrelGuard_Chip_D_Up	1650	0.0525	0.0171	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_E/BarrelGuard_Chip_E_2_Down.prefab	SeriesV4	BarrelGuard_Chip_E_2_Down	684	0.0525	0.0151	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_E/BarrelGuard_Chip_E_2_Left.prefab	SeriesV4	BarrelGuard_Chip_E_2_Left	684	0.0151	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_E/BarrelGuard_Chip_E_2_Right.prefab	SeriesV4	BarrelGuard_Chip_E_2_Right	684	0.0151	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_E/BarrelGuard_Chip_E_2_Up.prefab	SeriesV4	BarrelGuard_Chip_E_2_Up	684	0.0525	0.0151	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_E/BarrelGuard_Chip_E_Down.prefab	SeriesV4	BarrelGuard_Chip_E_Down	484	0.0525	0.0151	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_E/BarrelGuard_Chip_E_Left.prefab	SeriesV4	BarrelGuard_Chip_E_Left	484	0.0151	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_E/BarrelGuard_Chip_E_Right.prefab	SeriesV4	BarrelGuard_Chip_E_Right	484	0.0151	0.0525	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Chips/BarrelGuard_Chips_E/BarrelGuard_Chip_E_Up.prefab	SeriesV4	BarrelGuard_Chip_E_Up	484	0.0525	0.0151	0.1500	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Loks/BarrelGuard_Lok_A.prefab	SeriesV4	BarrelGuard_Lok_A	636	0.0140	0.0275	0.1059	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/BarrelGuard_Loks/BarrelGuard_Lok_A_Sand.prefab	SeriesV4	BarrelGuard_Lok_A_Sand	636	0.0140	0.0275	0.1059	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Equipments/Optic_Recon_Distance Measuring Equipment_A.prefab	SeriesV4	Optic_Recon_Distance Measuring Equipment_A	1164	0.0825	0.0542	0.0853	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Equipments/Optic_Recon_Distance Measuring Equipment_B.prefab	SeriesV4	Optic_Recon_Distance Measuring Equipment_B	1200	0.0550	0.0688	0.1105	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/MagKits/MagKit_A.prefab	SeriesV4	MagKit_A	880	0.0625	0.1155	0.1423	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/MagKits/MagKit_B.prefab	SeriesV4	MagKit_B	532	0.0535	0.0850	0.1135	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rail_Risers/Rail_Riser_A.prefab	SeriesV4	Rail_Riser_A	588	0.0550	0.0337	0.1200	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rail_Risers/Rail_Riser_B.prefab	SeriesV4	Rail_Riser_B	806	0.0550	0.0362	0.1875	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Previous/Attachments/Accessories/Rail_Risers/Rail_Riser_C.prefab	SeriesV4	Rail_Riser_C	988	0.0493	0.0483	0.0700	1	1	Standard	False
