weaponId,assetName,G1a_shader,G1b_notVendorOwned,G2_outline,G3_duplicate,G4_grip,G6_tris,G7_silhouette,G8_colour,blockingFailures,notes
weapon.shotgun.pack_h,WD_Shotgun_PackH,True,True,True,True,False,6648,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_Shotgun_PackF; G8 no distinguishing colour"
weapon.shotgun.pack_i,WD_Shotgun_PackI,True,True,True,True,False,8498,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_Shotgun_PackF; G8 no distinguishing colour"
weapon.shotgun.pack_j,WD_Shotgun_PackJ,True,True,True,True,False,6636,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_Shotgun_PackF; G8 no distinguishing colour"
weapon.shotgun.modern_p,WD_Shotgun_ModernP,True,True,True,True,False,6974,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_Shotgun_Generic; G8 no distinguishing colour"
weapon.sidearm.modern_r,WD_Sidearm_ModernR,True,True,True,True,False,5016,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.sidearm.machine_pistol_p,WD_Sidearm_MachinePistolP,True,True,True,True,False,6084,True,False,1,"G4 grip/muzzle incomplete; G8 no distinguishing colour"
weapon.sidearm.m1911_vol1,WD_Sidearm_M1911Vol1,True,True,True,True,False,2432,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.assault_rifle.modern_w,WD_AssaultRifle_ModernW,True,True,True,True,False,20708,False,False,1,"G4 grip/muzzle incomplete; G6 20708 tris; G7 proportions close to WD_AssaultRifle_M4A1; G8 no distinguishing colour"
weapon.assault_rifle.modern_x,WD_AssaultRifle_ModernX,True,True,True,True,False,15900,False,False,1,"G4 grip/muzzle incomplete; G6 15900 tris; G7 proportions close to WD_AssaultRifle_Generic; G8 no distinguishing colour"
weapon.assault_rifle.vintage_a,WD_AssaultRifle_VintageA,True,True,True,True,False,6856,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_AssaultRifle_Generic; G8 no distinguishing colour"
weapon.assault_rifle.vintage_b,WD_AssaultRifle_VintageB,True,True,True,True,False,7414,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_AssaultRifle_Generic; G8 no distinguishing colour"
weapon.assault_rifle.legacy_a2,WD_AssaultRifle_LegacyA2,True,True,True,True,False,6978,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_AssaultRifle_Generic; G8 no distinguishing colour"
weapon.assault_rifle.legacy_m4,WD_AssaultRifle_LegacyM4,True,True,True,True,False,7866,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_AssaultRifle_Generic; G8 no distinguishing colour"
weapon.assault_rifle.modern_t,WD_AssaultRifle_ModernT,True,True,True,True,False,10302,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_AssaultRifle_M4A1; G8 no distinguishing colour"
weapon.assault_rifle.modern_u,WD_AssaultRifle_ModernU,True,True,True,True,False,11484,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_AssaultRifle_M4A1; G8 no distinguishing colour"
weapon.assault_rifle.legacy_d,WD_AssaultRifle_LegacyD,True,True,True,True,False,4070,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_AssaultRifle_M4A1; G8 no distinguishing colour"
weapon.launcher.modern_g,WD_Launcher_ModernG,True,True,True,True,False,11038,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_AssaultRifle_Generic; G8 no distinguishing colour"
