weaponId,weaponName,twoHanded,view,slotRequested,slotActual,equipVerified,instanceId,handInFrame,vpX,vpY,vpZ,handToGripCm,armReachCm,shoulderToGripCm,outOfReach,muzzleInsideModel,pngSha,pngPath,note
weapon.lmg.generic,WD_LMG_Generic,True,RightGrip,1,1,True,-167550,True,0.500,0.500,1.686,0.0,33.2,30.7,False,False,B4B8BFB022B4,Review/M7_0_Factory/Evidence/Grip/WD_LMG_Generic__RightGrip.png,""
weapon.lmg.generic,WD_LMG_Generic,True,LeftGrip,1,1,True,-167550,True,0.488,0.593,1.739,21.5,33.2,54.7,True,False,1514F82BB308,Review/M7_0_Factory/Evidence/Grip/WD_LMG_Generic__LeftGrip.png,""
weapon.sidearm.glock_19,WD_Sidearm_Glock19,False,RightGrip,0,0,True,-167604,True,0.500,0.500,0.744,0.0,33.2,31.3,False,False,7D31682BB151,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_Glock19__RightGrip.png,""
weapon.sidearm.glock_19,WD_Sidearm_Glock19,False,Front,0,0,True,-167604,True,0.500,0.500,0.744,0.0,33.2,31.3,False,False,7A751A1AB693,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_Glock19__Front.png,""
weapon.sidearm.p226,WD_Sidearm_P226,False,RightGrip,0,0,True,-167732,True,0.500,0.500,0.745,0.0,33.2,27.7,False,False,391F1A1AA378,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_P226__RightGrip.png,""
weapon.sidearm.p226,WD_Sidearm_P226,False,Front,0,0,True,-167732,True,0.500,0.500,0.745,0.0,33.2,27.7,False,False,AB27F4A53D2F,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_P226__Front.png,""
weapon.sidearm.m1911,WD_Sidearm_M1911,False,RightGrip,0,0,True,-167868,True,0.500,0.500,0.891,0.0,33.2,28.8,False,False,76207DADD868,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_M1911__RightGrip.png,""
weapon.sidearm.m1911,WD_Sidearm_M1911,False,Front,0,0,True,-167868,True,0.500,0.500,0.891,0.0,33.2,28.8,False,False,AB3E317B4417,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_M1911__Front.png,""
weapon.sidearm.beretta_m9,WD_Sidearm_BerettaM9,False,RightGrip,0,0,True,-168004,True,0.500,0.500,0.792,0.0,33.2,30.7,False,False,9891A0F31C3A,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_BerettaM9__RightGrip.png,""
weapon.sidearm.beretta_m9,WD_Sidearm_BerettaM9,False,Front,0,0,True,-168004,True,0.500,0.500,0.792,0.0,33.2,30.7,False,False,8BE645E8BAF2,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_BerettaM9__Front.png,""
weapon.sidearm.usp_45,WD_Sidearm_USP45,False,RightGrip,0,0,True,-168148,True,0.500,0.500,0.709,0.0,33.2,30.4,False,False,C7842130FA30,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_USP45__RightGrip.png,""
weapon.sidearm.usp_45,WD_Sidearm_USP45,False,Front,0,0,True,-168148,True,0.500,0.500,0.709,0.0,33.2,30.4,False,False,FB0924985E6C,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_USP45__Front.png,""
weapon.sidearm.desert_eagle,WD_Sidearm_DesertEagle,False,RightGrip,0,0,True,-168308,True,0.500,0.500,1.104,0.0,33.2,27.8,False,False,6C7C6EA27833,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_DesertEagle__RightGrip.png,""
weapon.sidearm.desert_eagle,WD_Sidearm_DesertEagle,False,Front,0,0,True,-168308,True,0.500,0.500,1.104,0.0,33.2,27.8,False,False,110C57E4DBF8,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_DesertEagle__Front.png,""
weapon.sidearm.five_seven,WD_Sidearm_FiveSeven,False,RightGrip,0,0,True,-168460,True,0.500,0.500,0.807,0.0,33.2,26.1,False,False,3EE5228CBE8E,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_FiveSeven__RightGrip.png,""
weapon.sidearm.five_seven,WD_Sidearm_FiveSeven,False,Front,0,0,True,-168460,True,0.500,0.500,0.807,0.0,33.2,26.1,False,False,2ACADBEFCE78,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_FiveSeven__Front.png,""
weapon.sidearm.makarov,WD_Sidearm_Makarov,False,RightGrip,0,0,True,-168604,True,0.500,0.500,0.796,0.0,33.2,26.6,False,False,7509DC01DDE8,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_Makarov__RightGrip.png,""
weapon.sidearm.makarov,WD_Sidearm_Makarov,False,Front,0,0,True,-168604,True,0.500,0.500,0.796,0.0,33.2,26.6,False,False,59D6C4FCDF50,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_Makarov__Front.png,""
weapon.sidearm.python_357,WD_Sidearm_Python357,False,RightGrip,0,0,True,-168756,True,0.500,0.500,0.780,0.0,33.2,28.8,False,False,0041DF12757D,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_Python357__RightGrip.png,""
weapon.sidearm.python_357,WD_Sidearm_Python357,False,Front,0,0,True,-168756,True,0.500,0.500,0.780,0.0,33.2,28.8,False,False,E096224BCA08,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_Python357__Front.png,""
weapon.shotgun.benelli_m4,WD_Shotgun_BenelliM4,True,RightGrip,1,1,True,-168838,True,0.500,0.500,1.813,0.0,33.2,29.9,False,False,D3DBFC2E35B5,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_BenelliM4__RightGrip.png,""
weapon.shotgun.benelli_m4,WD_Shotgun_BenelliM4,True,LeftGrip,1,1,True,-168838,True,0.494,0.525,1.836,7.0,33.2,40.1,True,False,2742586235CD,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_BenelliM4__LeftGrip.png,""
weapon.shotgun.mossberg_500,WD_Shotgun_Mossberg500,True,RightGrip,1,1,True,-168966,True,0.503,0.510,1.813,2.2,33.2,35.4,True,False,CC26C33378CE,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_Mossberg500__RightGrip.png,""
weapon.shotgun.mossberg_500,WD_Shotgun_Mossberg500,True,LeftGrip,1,1,True,-168966,True,0.486,0.554,1.848,13.6,33.2,46.7,True,False,2FD5884B5017,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_Mossberg500__LeftGrip.png,""
weapon.shotgun.spas_12,WD_Shotgun_SPAS12,True,RightGrip,1,1,True,-169174,True,0.500,0.500,1.576,0.0,33.2,32.0,False,False,293CA8CB2933,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_SPAS12__RightGrip.png,""
weapon.shotgun.spas_12,WD_Shotgun_SPAS12,True,LeftGrip,1,1,True,-169174,True,0.483,0.572,1.616,15.8,33.2,49.0,True,False,9DC5816E69E5,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_SPAS12__LeftGrip.png,""
weapon.shotgun.double_barrel,WD_Shotgun_DoubleBarrel,True,RightGrip,1,1,True,-169358,True,0.500,0.500,1.703,0.0,33.2,21.5,False,False,A61FEDE01001,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_DoubleBarrel__RightGrip.png,""
weapon.shotgun.double_barrel,WD_Shotgun_DoubleBarrel,True,LeftGrip,1,1,True,-169358,True,0.488,0.525,1.729,7.6,33.2,40.8,True,False,A7A4E6DC644A,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_DoubleBarrel__LeftGrip.png,""
weapon.shotgun.aa_12,WD_Shotgun_AA12,True,RightGrip,1,1,True,-169526,True,0.500,0.500,1.238,0.0,33.2,30.6,False,False,FB3FC913B574,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_AA12__RightGrip.png,""
weapon.shotgun.aa_12,WD_Shotgun_AA12,True,LeftGrip,1,1,True,-169526,True,0.471,0.602,1.268,16.5,33.2,49.7,True,False,4FB4FAE0DBAB,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_AA12__LeftGrip.png,""
weapon.assault_rifle.m4a1,WD_AssaultRifle_M4A1,True,RightGrip,1,1,True,-169742,True,0.497,0.526,1.542,4.7,33.2,37.8,True,False,CBDCC02CD3C5,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_M4A1__RightGrip.png,""
weapon.assault_rifle.m4a1,WD_AssaultRifle_M4A1,True,LeftGrip,1,1,True,-169742,True,0.469,0.590,1.575,18.1,33.2,51.2,True,False,7EB0E6F1E303,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_M4A1__LeftGrip.png,""
weapon.assault_rifle.ak_47,WD_AssaultRifle_AK47,True,RightGrip,1,1,True,-169950,True,0.497,0.515,1.629,2.8,33.2,36.0,True,False,9E3B07339EB2,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_AK47__RightGrip.png,""
weapon.assault_rifle.ak_47,WD_AssaultRifle_AK47,True,LeftGrip,1,1,True,-169950,True,0.461,0.576,1.683,19.6,33.2,52.8,True,False,9F4CDBD3202C,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_AK47__LeftGrip.png,""
weapon.assault_rifle.scar_l,WD_AssaultRifle_SCARL,True,RightGrip,1,1,True,-170166,True,0.496,0.507,1.383,1.3,33.2,34.5,True,False,A45445C068BC,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_SCARL__RightGrip.png,""
weapon.assault_rifle.scar_l,WD_AssaultRifle_SCARL,True,LeftGrip,1,1,True,-170166,True,0.458,0.565,1.418,14.4,33.2,47.5,True,False,C89CD4199E0A,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_SCARL__LeftGrip.png,""
weapon.assault_rifle.famas,WD_AssaultRifle_FAMAS,True,RightGrip,1,1,True,-170358,True,0.513,0.617,1.433,20.3,33.2,53.5,True,False,E0F86B48AF5C,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_FAMAS__RightGrip.png,""
weapon.assault_rifle.famas,WD_AssaultRifle_FAMAS,True,LeftGrip,1,1,True,-170358,True,0.503,0.684,1.912,44.9,33.2,78.1,True,False,539551B1427A,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_FAMAS__LeftGrip.png,""
weapon.assault_rifle.g36c,WD_AssaultRifle_G36C,True,RightGrip,1,1,True,-170542,True,0.494,0.539,1.258,5.7,33.2,38.9,True,False,F1A98D43F805,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_G36C__RightGrip.png,""
weapon.assault_rifle.g36c,WD_AssaultRifle_G36C,True,LeftGrip,1,1,True,-170542,True,0.447,0.660,1.919,42.8,33.2,75.9,True,False,E627D20EA451,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_G36C__LeftGrip.png,""
